,index,Product_SKU,Product_Style_ID,Product_Catalog,Product_Category,Product_Weight,Transfer_Price,Old_MRP,Final_Old_MRP,Ajio_MRP,Amazon_MRP,Amazon_FBA_MRP,Flipkart_MRP,Limeroad_MRP,Myntra_MRP,Paytm_MRP,Snapdeal_MRP,Transfer_Price_Level_1,Transfer_Price_Level_2
0,0,Os206_3141_S,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
1,1,Os206_3141_M,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
2,2,Os206_3141_L,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
3,3,Os206_3141_XL,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
4,4,Os206_3141_2XL,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
5,5,Os206_3141_3XL,Os206_3141,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
6,6,Os223_3142_S,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
7,7,Os223_3142_M,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
8,8,Os223_3142_L,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
9,9,Os223_3142_XL,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
10,10,Os223_3142_2XL,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
11,11,Os223_3142_3XL,Os223_3142,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
12,12,Os212_3143_S,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
13,13,Os212_3143_M,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
14,14,Os212_3143_L,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
15,15,Os212_3143_XL,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
16,16,Os212_3143_2XL,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
17,17,Os212_3143_3XL,Os212_3143,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
18,18,Os214_3144_S,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
19,19,Os214_3144_M,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
20,20,Os214_3144_L,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
21,21,Os214_3144_XL,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
22,22,Os214_3144_2XL,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
23,23,Os214_3144_3XL,Os214_3144,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
24,24,Os207_3145_S,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
25,25,Os207_3145_M,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
26,26,Os207_3145_L,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
27,27,Os207_3145_XL,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
28,28,Os207_3145_2XL,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
29,29,Os207_3145_3XL,Os207_3145,Moments,Kurta,0.3,538.0,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,538.0,435.78
